Lp,"Numer RSPO","Typ szkoły_placówki","Nazwa szkoły_placówki","Liczba uczniów ogółem","Liczba oddziałów ogółem","wychowanie przedszkolne","klasa wstępna","klasa I","klasa II","klasa III","klasa IV","klasa V","klasa VI","klasa VII","klasa VIII","Typ organu prowadzącego","Organ prowadzący",Wojewodztwo,Powiat,Gmina,Miejscowość,Ulica,"Nr domu","Nr lokalu","Kod pocztowy",Poczta,Telefon,"Specyfika szkoły","Kategoria uczniów","Publiczność szkoły_placówki"
1,5884,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 133 IM. ORŁA BIAŁEGO W KRAKOWIE",363,19,0,0,52,56,60,44,47,45,38,21,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Mieczysława Wrony",115,,30-399,Kraków,122621020,"brak specyfiki","Dzieci lub młodzież",publiczna
2,5919,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 66 IM. EDWARDA DEMBOWSKIEGO W KRAKOWIE",684,29,0,0,115,114,104,88,71,75,77,40,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Skotnicka,86,,30-394,Kraków,122625277,"brak specyfiki","Dzieci lub młodzież",publiczna
3,6805,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 130 IM. JANA BRZECHWY W KRAKOWIE",699,31,0,0,106,81,91,95,99,92,74,61,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Oświecenia",30,,31-636,Kraków,126497773,"brak specyfiki","Dzieci lub młodzież",publiczna
4,6864,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 11 IM. JÓZEFA DIETLA W KRAKOWIE",185,8,0,0,24,19,26,22,23,24,25,22,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Miodowa,36,,31-052,Kraków,124212856,"brak specyfiki","Dzieci lub młodzież",publiczna
5,7045,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 4 IM. ROMUALDA TRAUGUTTA W KRAKOWIE",449,23,0,0,44,62,47,63,59,63,60,51,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Smoleńsk,5-7,,31-108,Kraków,124229649,"brak specyfiki","Dzieci lub młodzież",publiczna
6,7046,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 27 IM. MARII KONOPNICKIEJ W KRAKOWIE",747,33,0,0,95,105,111,85,99,105,73,74,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Podedworze,16,,30-686,Kraków,126584567,"brak specyfiki","Dzieci lub młodzież",publiczna
7,7198,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 37 IM. JULIANA TUWIMA W KRAKOWIE",344,17,0,0,56,42,47,41,35,41,49,33,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Stalowe",18,,31-922,Kraków,126443917,"brak specyfiki","Dzieci lub młodzież",publiczna
8,7199,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 86 IM. POWSTAŃCÓW ŚLĄSKICH W KRAKOWIE",304,15,0,0,25,32,40,34,56,51,45,21,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Jagiellońskie",18,,31-833,Kraków,126483414,"brak specyfiki","Dzieci lub młodzież",publiczna
9,7200,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 88 IM. STEFANA ŻEROMSKIEGO W KRAKOWIE",339,18,0,0,39,33,33,38,37,58,46,55,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Szklane Domy",2,,31-972,Kraków,126441723,"brak specyfiki","Dzieci lub młodzież",publiczna
10,7335,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 101 IM. HANSA CHRISTIANA ANDERSENA W KRAKOWIE",410,18,0,0,67,58,52,48,53,52,43,37,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Jagiellońskie",9,,31-832,Kraków,126482103,"brak specyfiki","Dzieci lub młodzież",publiczna
